track_id,track_name,track_artist_name,track_popularity,track_lyrics
5MnAi6ZF7cE8pAz7wYr9Ta,Dil Diyan Gallan,Vishal-Shekhar,66,
6fScgF2Y63ScU73nYju0ny,O Saathi,Atif Aslam,66,
27zrFrtUtWl2urlvjOn5xc,Say Yes,Loco,66,
0uXO2GrNiIb1xHT9LUdxZE,Sexy Bitch (feat. Akon),David Guetta,65,
3P3UA61WRQqwCXaoFOTENd,Through the Night,IU,65,
3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),Jeet Gannguli,65,
0GQngE2rOYvlKwEQjTAsP8,Subhanallah,Pritam,65,
6PtXobrqImYfnpIxNsJApa,Bad (feat. Vassy) - Radio Edit,David Guetta,65,
5gx2E5aIXMRBellPZW1up5,"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",Chris Brown,65,
4vvnuJlgBeNVwq3TNmLMNX,Jackie Chan,Tiësto,65,
1ZaeaGLhFSckG8sv1y7AWk,Kya Baat Ay,Harrdy Sandhu,65,
6N6mJlsjYRV0yoMSPS5JiQ,The Wakhra Song,Navv Inder,64,
7AHKnQ6XB5l7GL4pTJWLZn,Kutty Pattas,Santhosh Dhayanidhi,64,
0mJTAdmY8olbGQjopDYff3,Vaaste,Dhvani Bhanushali,64,
1OEmd2iXU8pWG7CrKNpGUg,Humdard,Arijit Singh,64,
6oloWgrErtc8dG2WiV55gn,Sawan Mein Lag Gayi Aag,Mika Singh,64,
1rvJahl2EPy25dSsBNzTr4,Adipoli,Siddhu Kumar,64,
6EIVLz5xM1xE29r0OmIkWt,Falling Slowly,Glen Hansard,64,
1CM4rFDU9q4EoLy2K44qE6,"Naah Goriye (From ""Bala"")",B Praak,64,
3VZQshi4COChhXaz7cLP02,I Love It (feat. Charli XCX),Icona Pop,64,
7HacCTm33hZYYN8DXpCYuG,I Like It,Enrique Iglesias,64,
4LLvxxkWtt818FNO3cbsdo,Sauda Khara Khara,Diljit Dosanjh,64,
5cjVsWqIkBQC7acTRhL0RO,Kamariya,Aastha Gill,64,
6qCNaRRr5xJALfNJvh0NAw,Bom Diggy Diggy,Zack Knight,63,
4AoQVhME8Ko6LNm4lV2wwQ,Hookah Bar,Himesh Reshammiya,63,
7heMX7gyHP0mhTlNgd7Lxd,The Humma Song,A.R. Rahman,63,
4Tkb7zsDmsawB7S5TpKQV1,Pehli Dafa,Atif Aslam,63,
6f3ANRNQ8nCiPZ6VqXqq93,Main Rahoon Ya Na Rahoon,Amaal Mallik,63,
06EMBzxDm2hueehobAlMtm,Ending Scene,IU,63,
1E16f7KcZmuXuhlenRwA2m,Saibo - Lofi Flip,VIBIE,63,
0JBhoxPKHJc1ZeJrjSt0VO,Tera Ghata,Gajendra Verma,63,
2mwBSO58y92EYmEFpDfmS7,Suit Suit,Guru Randhawa,63,
1z1mMZtZW0gvR9FSPc7JpJ,Champion,Elina,63,
16pwlVsypm4aDKMhXdOuXg,Animals,Maroon 5,63,
2Vw94w6FxCyaYwyCivi9Py,Tere Naal,Tulsi Kumar,63,
0GX5oOKtU0nnx5OkhenW2i,Closer,Ne-Yo,63,
7ofWUKeNCUw1P64ArIwG9b,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,63,
2si0ZNx4yRbggTvrIom8A2,Paniyon Sa,Rochak Kohli,62,
6TGX01ExmdHyOG72fqUU3Q,Zindagi Kuch Toh Bata (Reprise),Pritam,62,
3huCRjAX12zNPxtX9JqX2X,"Naanga Vera Maari (From ""Valimai"")",Yuvan Shankar Raja,62,
1trC8L8YpawkU553ymy2zC,Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,62,
5X5db3FrBOHbibrFKA02MQ,"Chashni (From ""Bharat"")",Abhijeet Srivastava,62,
3tgZ9vmhuAY9wEoNUJskzV,Timber (feat. Ke$ha),Pitbull,62,
4pE05HNzmVFGpCOfNKE3w6,"Tum Hi Ho Bandhu (From ""Cocktail"")",Neeraj Shridhar,62,
61s24wRVyG7NP9m7EjdDKL,Don’t Stop The Party,Black Eyed Peas,62,
2YdX7PEziOImkySNDWsaKM,Rise Up - Radio Edit,Yves Larock,62,
11IAzj9706fIKBVCJyMNNt,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",Jasmine Sandlas,62,
0zRsGGueSQLRkYWs4kPA4V,Naah,Harrdy Sandhu,62,
4f5kLqyOJ5ZPnalEVMQrB2,"Tere Bin (From ""Simmba"")",Rahat Fateh Ali Khan,62,
2KrrAi2smn5Fa7sy7TxrKg,Nayan,Dhvani Bhanushali,62,
7CUYHcu0RnbOnMz4RuN07w,Despacito (Featuring Daddy Yankee),Luis Fonsi,62,
28veUNu4veN0LOBVa0nFw8,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,62,
6WediUhXDfm8FR3wlM0r3G,Subha Hone Na De,Pritam,62,
6Kynli1iHBqJRWUCohcV9h,Kaam 25 - Sacred Games,DIVINE,62,
4ymPEyiXabTe1NO8q8EFxG,"Chogada (From ""Loveyatri"")",Darshan Raval,61,
67QGnT1Vdfuuy4HkLTUVjj,11:11,TAEYEON,61,
4km0RUkMMFdx8iDuq36o2w,Janam Janam,Pritam,61,
6dGsBRuavumBs5BghcXF3D,Give You My Heart,IU,61,
1SwZVVH9BnXtLRLi2cbFhw,Good day,IU,61,
5uaIbU3oHHcSOK6WFNK5nj,Apna Time Aayega,Ranveer Singh,61,
4650WGL6InVqP7YN5POqIz,Party Rock Anthem,LMFAO,61,
1cmZbGkCEVVAck2MsWpPYQ,Hasi - Female Version,Ami Mishra,61,
5mp7og60TpyNiKi2p9Morw,Tenu Na Bol Pawaan,Yasser Desai,61,
1baHxgYktT8eDdmtTozJF9,Enjoy Enjaami,Dhee,61,
21r0QnhYxsxYUsoov5o0IF,Per Vachaalum Vaikkaama,Yuvan Shankar Raja,61,
0CVfovmUv7BnemOyTtOcbL,Sanam Re,Mithoon,61,
4LihUZcWy0B6lGLqcJ8u9B,New Rules,Dua Lipa,61,
4ymPEyiXabTe1NO8q8EFxG,"Chogada (From ""Loveyatri"")",Darshan Raval,61,
